title,slug,category,topics,regions,locations,url,imageurl,description,started,active,Priority to speak to?,Who funded them?,People (* if we have met them)
Mind and Life,mind-and-life,"Research, Events","Science, Psychology, Spirituality",,"Virginia, US",https://www.mindandlife.org/,https://pbs.twimg.com/profile_images/683963786009669632/ouPiSmOs_400x400.png,Bridging science and contemplative wisdom to foster insight and inspire action toward flourishing.,1991,Yes,Liam already speaking,,Susan Bauer-Wu
Newspeak House,newspeak-house,Education & Collaborative Physical Space,"Politics, System Change",,London,https://www.nwspk.com/,https://media-exp1.licdn.com/dms/image/C560BAQGR--X_7aY3Gg/company-logo_200_200/0?e=2159024400&v=beta&t=XJkoKN_1y5G2KKhWAW4a4E5anw-XOCCo8PQ0RrG3Cao,"Newspeak House is an independent residential college founded in 2015 to study, nurture and inspire emerging communities of practice across UK public sector and civil society",2015,Yes,No ,Membership fees,Ed Saperia
One Project,one-project,,"Governance, Economics, Systems Change",,US,https://oneproject.org/,,"One Project is a non-profit initiative working globally with communities to design, implement, and scale new forms of governance and economics that are equitable, ecological, and effective.",,Yes,Medium ,,"Justin Rosenstein, Jonah Sachs, Evan Steiner, Daniel Gortz, Zachary Walsh"
Perspectiva,perspectiva,Think Tank,"Spirituality, Psychology, Society, System Change",,London HQ (& Sweden),https://www.systems-souls-society.com/,"https://static.wixstatic.com/media/3ff9b4_f6400fd5b59241dcaae944b882d21c40~mv2.png/v1/fill/w_480,h_103,al_c,q_85,usm_0.66_1.00_0.01/3ff9b4_f6400fd5b59241dcaae944b882d21c40~mv2.webp","We are a research platform that seeks to build the intellectual foundations for a more conscious society – a diverse and plural society awake to itself, united by an awareness of ecological constraints, systemic influences and the development of human empathy and consciousness throughout the lifespan.",2016,Yes,High - clear connection,"The Joseph Rowntree Charitable Trust, The Templeton Foundation, The JJ Trust, Friends Provident Foundation, The Edith Ellis Trust and The Schöpflin Foundation; the Fetzer Institute","Jonathan Rowson, Pippa Evans, Mark Vernon, Ivo Mensch, Tomas Bjorkman, Ronan Harrington"
Presencing Institute,presencing-institute,"Research, Training/Courses","Education, Spirituality, Leadership, System Change",,US,https://www.presencing.org/,https://www.presencing.org/assets/images/common/pi-logo.png,"The Presencing Institute was founded in 2006 by MIT Sloan School of Management Senior Lecturer Otto Scharmer and colleagues in order to create an action research platform at the intersection of science, consciousness, and profound social and organizational change. Over the past two decades, we have developed Theory U as a change framework, led cross-sector leadership, change and innovation initiatives worldwide, and created an innovation platform called u.lab.",2006,Yes,High - u.lab clearly relevant to LI - go through Berlin Hub,,Otto Sharmer
Rebel Wisdom,rebel-wisdom,"Media Platform, Retreat Organisation, Courses, Events","Personal Development, Philosophy, Psychology, Politics, Society, Spirituality, Culture",,UK,https://www.rebelwisdom.co.uk/,https://pbcdn1.podbean.com/imglogo/image-logo/2929465/RW_itunes.png,"Rebel Wisdom is a media platform, Rebel Wisdom looks to move beyond ideology. We create our content with the intention of engaging with the whole person – intellect, body, and intuition - to create honest discussions. That's why we've created Rebel Wisdom Live - a regular event series designed to create a space in which we can discuss challenging ideas. For those looking to have a direct experience of the ideas in our films and 'level up' in their lives, we also run regular retreats. we believe in the rebellious, transformative power of genuine Truth. ",2018,Yes,Medium - don't think they'd cover us - not a priority for now,,"Alexander Beiner, David Fuller, Ivo Mensch"
Schumacher College,schumacher-college,Education & Courses,"Spirituality, Rewilding, Ecology, Climate",,"Devon, UK",https://www.schumachercollege.org.uk/,,"Schumacher College is an internationally renowned learning community offering ecology-centred masters, short course and horticulture programmes. ",1990,Yes,No,,"Andy Letcher, Satish Kumar"
The Alternative UK,the-alternative-uk,Platform (Events & Media),"Politics, System Change",,London,https://www.thealternative.org.uk/,https://pbs.twimg.com/profile_images/951153658909118464/pRTZkuDO_400x400.jpg,"The Alternative UK is a political platform based in the United Kingdom. Through curation, editorial, public events, commissioning and research, we aim to transform the language and practice of politics on these islands. Inspired by and associated with Alternativet in Denmark, we are trying to bring about ""a friendly revolution"".",2017,Yes,High - contact there - Theo wants in ,,Indra Adnan
The International Bateson Institute,the-international-bateson-institute,"Research, Events","Ecology, Economy, Social Change, Health, Education, Art\",,Sweden,https://batesoninstitute.org/,https://batesoninstitute.org/wp-content/uploads/2018/08/IBI-logo2-01.svg,"Inspired by Batesonian concepts, the IBI furthers the research on transcontextuatlity and how interactions in complex, living systems can be understood and positively influenced.",2018,Yes,No,,Nora Bateson
The Mindfulness Initiative,the-mindfulness-initiative,Training/Education,"Mindfulness, Politics",,London,https://www.themindfulnessinitiative.org/,https://img.fullcontact.com/static/4b4542ca157ca274aa0bbce559859698_e9154ecd523c59f35340890391d35ef17668fd2ea74de693941054e162c1e6fd,The Mindfulness Initiative is a project that grew out of a programme of mindfulness teaching for politicians in the UK Parliament.,2013,Yes,No,,Jamie Bristow
Transition Network,transition-network,Movement/Community,"System Change, Community, Infrastructure",,Worldwide,https://transitionnetwork.org/,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQkcmHsPczygR5QL2eQ_ePcVT1gJ-3LS-az4o7jZ-DNmRIEOZId,A movement of communities coming together to reimagine and rebuild our world,2007,Yes,No,,"Naresh Giangrande, Rob Hopkins, Andrew Simms, Charlotte Du Cann"
New Economics Foundation,new-economics-foundation,Research,Economics,,UK,https://neweconomics.org/,,The New Economics Foundation works with people igniting change from below and combines this with rigorous research to fight for change at the top.,1986,Yes,No,,
